SW_Code,Item_Link,Downloaded
SW1330,https://www.ebay.de/itm/256793466216,1
SW1330,https://www.ebay.de/itm/205477517066,1
SW1330,https://www.ebay.de/itm/396486381160,1
SW1330,https://www.ebay.de/itm/236107348298,1
SW1330,https://www.ebay.de/itm/205270009198,1
SW0719,https://www.ebay.de/itm/205303134997,1
SW0719,https://www.ebay.de/itm/316483145150,1
SW0719,https://www.ebay.de/itm/256908436678,1
SW0719,https://www.ebay.de/itm/187118282595,1
SW0719,https://www.ebay.de/itm/266837676947,1
SW0719,https://www.ebay.de/itm/297420886585,1
SW0719,https://www.ebay.de/itm/186716542546,1
SW0719,https://www.ebay.de/itm/335958667701,1
SW0719,https://www.ebay.de/itm/335893757706,1
SW0719,https://www.ebay.de/itm/186983896865,1
SW0719,https://www.ebay.de/itm/204998632966,1
SW0719,https://www.ebay.de/itm/267238925402,1
SW0719,https://www.ebay.de/itm/116560767648,1
SW0719,https://www.ebay.de/itm/205260976209,1
SW0719,https://www.ebay.de/itm/167438551345,1
SW1208,https://www.ebay.de/itm/376188603409,1
SW1208,https://www.ebay.de/itm/286481675216,1
SW1208,https://www.ebay.de/itm/315295665131,1
SW0624,https://www.ebay.de/itm/135619346133,1
SW0624,https://www.ebay.de/itm/226695719566,1
SW0624,https://www.ebay.de/itm/205355923331,1
SW0624,https://www.ebay.de/itm/116208548863,1
SW0624,https://www.ebay.de/itm/203347509320,1
SW0624,https://www.ebay.de/itm/306209196460,1
SW0624,https://www.ebay.de/itm/116505692209,1
SW0624,https://www.ebay.de/itm/135934141838,1
SW0624,https://www.ebay.de/itm/177180371724,1
SW0624,https://www.ebay.de/itm/167377605695,1
SW0624,https://www.ebay.de/itm/205110817377,1
SW0624,https://www.ebay.de/itm/126995870134,1
SW0624,https://www.ebay.de/itm/296340560317,1
SW0624,https://www.ebay.de/itm/156963565646,1
SW0624,https://www.ebay.de/itm/356791957279,1
SW0624,https://www.ebay.de/itm/267204012376,1
SW0624,https://www.ebay.de/itm/156874152735,1
